Age,Employee Count,Employee Id,Gender,Marital Status,Over 18,Over Time,Num Companies Worked,Standard Hours,Department,Business Travel,Job Role,Job Level,Job Involvement,Total Working Years,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager,Training Times Last Year,Daily Rate,Hourly Rate,Monthly Rate,MonthlyIncome,Percent Salary Hike,Stock Option Level,Environment Satisfaction,Job Satisfaction,Relationship Satisfaction,Work Life Balance,Performance Rating,Education,Education Field,Attrition,Distance From Home
41,1,1,Female,Single,Y,Yes,8,80,Sales,Travel_Rarely,Sales Executive,2,3,8,6,4,0,5,0,1102,94,19479,5993,11,0,2,4,1,1,3,2,Life Sciences,Yes,1
49,1,2,Male,Married,Y,No,1,80,Research & Development,Travel_Frequently,Research Scientist,2,2,10,10,7,1,7,3,279,61,24907,5130,23,1,3,2,4,3,4,1,Life Sciences,No,8
37,1,4,Male,Single,Y,Yes,6,80,Research & Development,Travel_Rarely,Laboratory Technician,1,2,7,0,0,0,0,3,1373,92,2396,2090,15,0,4,3,2,3,3,2,Other,Yes,2
33,1,5,Female,Married,Y,Yes,1,80,Research & Development,Travel_Frequently,Research Scientist,1,3,8,8,7,3,0,3,1392,56,23159,2909,11,0,4,3,3,3,3,4,Life Sciences,No,3
27,1,7,Male,Married,Y,No,9,80,Research & Development,Travel_Rarely,Laboratory Technician,1,3,6,2,2,2,2,3,591,40,16632,3468,12,1,1,2,4,3,3,1,Medical,No,2
32,1,8,Male,Single,Y,No,0,80,Research & Development,Travel_Frequently,Laboratory Technician,1,3,8,7,7,3,6,2,1005,79,11864,3068,13,0,4,4,3,2,3,2,Life Sciences,No,2
59,1,10,Female,Married,Y,Yes,4,80,Research & Development,Travel_Rarely,Laboratory Technician,1,4,12,1,0,0,0,3,1324,81,9964,2670,20,3,3,1,1,2,4,3,Medical,No,3
30,1,11,Male,Divorced,Y,No,1,80,Research & Development,Travel_Rarely,Laboratory Technician,1,3,1,1,0,0,0,2,1358,67,13335,2693,22,1,4,3,2,3,4,1,Life Sciences,No,24
38,1,12,Male,Single,Y,No,0,80,Research & Development,Travel_Frequently,Manufacturing Director,3,2,10,9,7,1,8,2,216,44,8787,9526,21,0,4,3,2,3,4,3,Life Sciences,No,23
36,1,13,Male,Married,Y,No,6,80,Research & Development,Travel_Rarely,Healthcare Representative,2,3,17,7,7,7,7,3,1299,94,16577,5237,13,2,3,3,2,2,3,3,Medical,No,27
